Date,Daily Volume
2022/6/14 0:00,22277.60529
2022/6/15 0:00,17671.63363
2022/6/16 0:00,15324.17339
2022/6/17 0:00,14607.14681
2022/6/18 0:00,16666.98592
2022/6/19 0:00,14507.28
2022/6/20 0:00,15625.04012
2022/6/21 0:00,17997.49324
2022/6/22 0:00,16821.49838
2022/6/23 0:00,13266.75755
2022/6/24 0:00,12992.58014
2022/6/25 0:00,11483.37827
2022/6/26 0:00,12361.75809
2022/6/27 0:00,15185.01674
2022/6/28 0:00,14607.63377
2022/6/29 0:00,14248.74058
2022/6/30 0:00,14780.67967
2022/7/1 0:00,14942.59939
2022/7/2 0:00,11133.17819
2022/7/3 0:00,14380.21316
2022/7/4 0:00,15314.09606
2022/7/5 0:00,12899.02926
2022/7/6 0:00,13273.15003
2022/7/7 0:00,16016.88687
2022/7/8 0:00,14656.26555
2022/7/9 0:00,17159.15718
2022/7/10 0:00,14993.50874
2022/7/11 0:00,13391.8795
2022/7/12 0:00,14548.23837
2022/7/13 0:00,15687.48737
2022/7/14 0:00,12863.83073
2022/7/15 0:00,13335.8206
2022/7/16 0:00,13712.40412
2022/7/17 0:00,15206.91704
2022/7/18 0:00,14877.58316
2022/7/19 0:00,10444.26813
2022/7/20 0:00,14187.24763
2022/7/21 0:00,14108.04821
2022/7/22 0:00,13334.47098
2022/7/23 0:00,10478.39733
2022/7/24 0:00,10027.69931
2022/7/25 0:00,11970.42672
2022/7/26 0:00,10969.74335
2022/7/27 0:00,10029.1423
2022/7/28 0:00,9944.785201
2022/7/29 0:00,9895.089515
2022/7/30 0:00,7927.03584
2022/7/31 0:00,7634.26693
2022/8/1 0:00,9271.075058
2022/8/2 0:00,8192.774256
2022/8/3 0:00,8905.021457
2022/8/4 0:00,8629.080108
2022/8/5 0:00,11333.68565
2022/8/6 0:00,8687.461393
2022/8/7 0:00,10697.19223
2022/8/8 0:00,9453.654328
2022/8/9 0:00,12009.01986
2022/8/10 0:00,14275.91169
2022/8/11 0:00,10721.72731
2022/8/12 0:00,9404.844533
2022/8/13 0:00,7717.279259
2022/8/14 0:00,7339.083639
2022/8/15 0:00,7378.156618
2022/8/16 0:00,7683.804013
